# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_gw_chip/
#
# total peaks = 504
# peak size = 99
# peaks found using tags on both strands
# minimum distance between peaks = 198
# fragment length = 98
# genome size = 2000000000
# Total tags = 19684936.0
# Total tags in peaks = 5544.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.009819
# expected tags per peak = 0.972
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 8.958906e-07
# FDR tag threshold = 9.0
# number of putative peaks = 1616
#
# input tag directory = LXR_gw_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1062
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 50
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_gw_chip/ -center -i LXR_gw_input/ -o LXR_gw_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr5-106	chr5	136767586	136767684	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	6.98	8.59e-06	0.86
chr5-99	chr5	136943726	136943824	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	8.82	1.32e-06	0.86
chr5-73	chr5	137010947	137011045	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	6.21	2.14e-05	0.97
chr5-63	chr5	151589599	151589697	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	7.97	3.01e-06	0.86
chr6-14	chr6	16940815	16940913	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	10.84	2.24e-07	0.86
chr6-15	chr6	23110512	23110610	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	28.13	7.03e-11	0.86
chr6-17	chr6	63113908	63114006	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	13.64	3.38e-08	0.86
chr6-16	chr6	103663388	103663486	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	11.69	1.21e-07	0.86
chr6-12	chr6	146911278	146911376	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	12.50	6.97e-08	0.86
chr7-5	chr7	108947754	108947852	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	14.52	2.01e-08	0.86
chr8-66	chr8	3162139	3162237	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.16	7.91e-06	0.85
chr8-54	chr8	18500953	18501051	+	4.6	0.643	9.000000	7.5	0.5	14.96	9.40e-07	13.43	3.83e-08	0.86
chr8-72	chr8	19984418	19984516	+	4.6	0.625	9.000000	7.5	0.5	14.96	9.40e-07	5.81	3.56e-05	0.86
chr8-77	chr8	42216806	42216904	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.18	2.43e-06	0.86
chr8-75	chr8	45086343	45086441	+	4.6	0.643	9.000000	7.5	0.5	14.96	9.40e-07	11.25	1.66e-07	0.86
chr8-80	chr8	48185395	48185493	+	4.6	0.667	9.000000	7.5	0.5	14.96	9.40e-07	8.74	1.43e-06	0.86
chr8-68	chr8	50130617	50130715	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	7.38	5.53e-06	0.86
chr8-50	chr8	55440550	55440648	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	8.04	2.80e-06	0.86
chr8-37	chr8	70452723	70452821	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	8.41	1.94e-06	0.86
chr8-67	chr8	70666005	70666103	+	4.6	0.643	9.000000	7.5	1.0	7.48	8.32e-05	6.25	5.77e-05	0.85
chr8-63	chr8	77787325	77787423	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	12.50	6.97e-08	0.86
chr8-36	chr8	79670544	79670642	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	10.35	3.29e-07	0.86
chr8-71	chr8	81329574	81329672	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.69	3.97e-06	0.86
chr8-53	chr8	83129632	83129730	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	8.74	1.43e-06	0.86
chr8-69	chr8	84141119	84141217	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	7.63	4.25e-06	0.86
chr8-47	chr8	95660009	95660107	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	12.86	5.52e-08	0.86
chr8-74	chr8	108487739	108487837	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.28	7.94e-07	0.86
chr8-52	chr8	110875909	110876007	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	9.89	4.74e-07	0.86
chr8-57	chr8	120776380	120776478	+	4.6	0.643	9.000000	7.5	0.5	14.96	9.40e-07	7.50	4.85e-06	0.86
chr9-74	chr9	63215650	63215748	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	9.09	9.35e-07	0.86
chr9-63	chr9	65044248	65044346	+	4.6	0.500	10.000000	7.5	1.0	7.48	8.32e-05	7.62	1.45e-05	0.85
chr9-71	chr9	72834593	72834691	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	11.39	1.50e-07	0.86
chr9-73	chr9	102934064	102934162	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	8.33	2.09e-06	0.86
chr9-69	chr9	111222534	111222632	+	4.6	0.733	9.000000	7.5	0.5	14.96	9.40e-07	9.00	1.01e-06	0.86
chr10-16	chr10	13048818	13048916	+	4.6	0.833	9.000000	7.5	0.5	14.96	9.40e-07	8.82	1.32e-06	0.86
chr10-26	chr10	34111025	34111123	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	11.84	1.09e-07	0.86
chr10-32	chr10	51388893	51388991	+	4.6	0.917	9.000000	7.5	0.5	14.96	9.40e-07	12.00	9.77e-08	0.86
chr10-31	chr10	58728010	58728108	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	8.26	2.25e-06	0.86
chr10-19	chr10	59169291	59169389	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	9.28	7.94e-07	0.86
chr10-15	chr10	84073540	84073638	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	10.11	3.96e-07	0.86
chr10-40	chr10	87634836	87634934	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	11.54	1.35e-07	0.86
chr10-36	chr10	93451849	93451947	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	10.35	3.29e-07	0.86
chr10-34	chr10	110984746	110984844	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	7.32	5.90e-06	0.86
chr11-200	chr11	4062056	4062154	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	5.96	2.92e-05	0.86
chr11-205	chr11	4072888	4072986	+	4.6	0.714	9.000000	8.3	1.0	8.31	1.02e-05	5.88	3.23e-05	0.97
chr11-193	chr11	12472574	12472672	+	4.6	0.833	10.000000	7.5	0.5	14.96	9.40e-07	23.08	3.89e-10	0.86
chr11-217	chr11	18369021	18369119	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	11.25	1.66e-07	0.86
chr11-248	chr11	23503404	23503502	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.68	5.65e-07	0.86
chr11-190	chr11	26881492	26881590	+	4.6	0.800	10.000000	7.5	1.0	7.48	8.32e-05	7.90	3.23e-06	0.86
chr11-226	chr11	27444444	27444542	+	4.6	0.846	9.000000	7.5	1.0	7.48	8.32e-05	9.64	2.43e-06	0.85
chr11-250	chr11	27910978	27911076	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	17.65	3.86e-09	0.86
chr11-198	chr11	33996969	33997067	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	8.26	2.25e-06	0.86
chr11-206	chr11	35203025	35203123	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	9.68	5.65e-07	0.86
chr11-192	chr11	35473013	35473111	+	4.6	0.714	10.000000	7.5	0.5	14.96	9.40e-07	8.33	2.09e-06	0.86
chr11-222	chr11	36291469	36291567	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	8.74	1.43e-06	0.86
chr11-211	chr11	39167852	39167950	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	8.65	1.54e-06	0.86
chr11-244	chr11	40975215	40975313	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	8.41	1.94e-06	0.86
chr11-208	chr11	47102407	47102505	+	4.6	0.786	9.000000	7.5	1.0	7.48	8.32e-05	9.09	9.35e-07	0.86
chr11-196	chr11	52340848	52340946	+	4.6	0.714	10.000000	7.5	0.5	14.96	9.40e-07	7.83	3.46e-06	0.86
chr11-241	chr11	54099913	54100011	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	6.48	1.54e-05	0.86
chr11-215	chr11	58682429	58682527	+	4.6	0.625	9.000000	7.5	0.5	14.96	9.40e-07	7.03	8.08e-06	0.86
chr11-197	chr11	59298505	59298603	+	4.6	0.667	10.000000	8.3	1.0	8.31	1.02e-05	5.14	8.89e-05	0.86
chr11-212	chr11	59988062	59988160	+	4.6	0.800	9.000000	7.5	1.0	7.48	8.32e-05	6.48	1.54e-05	0.86
chr11-245	chr11	68602321	68602419	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	11.54	1.35e-07	0.86
chr11-227	chr11	88168179	88168277	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	11.39	1.50e-07	0.86
chr11-234	chr11	97322304	97322402	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	10.47	3.00e-07	0.86
chr11-247	chr11	97658335	97658433	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	8.49	1.80e-06	0.86
chr11-213	chr11	101498357	101498455	+	4.6	0.727	9.000000	7.5	1.0	7.48	8.32e-05	10.96	9.63e-07	0.85
chr11-239	chr11	117842279	117842377	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	10.84	2.24e-07	0.86
chr12-17	chr12	54339061	54339159	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	10.98	2.03e-07	0.86
chr12-13	chr12	58685836	58685934	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	11.69	1.21e-07	0.86
chr12-14	chr12	78198224	78198322	+	4.6	0.786	9.000000	7.5	1.0	7.48	8.32e-05	8.18	2.43e-06	0.86
chr12-19	chr12	98702876	98702974	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	10.23	3.61e-07	0.86
chr12-16	chr12	112820272	112820370	+	4.6	0.643	9.000000	7.5	1.0	7.48	8.32e-05	9.18	8.62e-07	0.86
chr12-6	chr12	114121715	114121813	+	4.6	0.733	10.000000	7.5	0.5	14.96	9.40e-07	11.84	1.09e-07	0.86
chr13-26	chr13	6320414	6320512	+	4.6	0.562	9.000000	7.5	1.0	7.48	8.32e-05	10.11	3.96e-07	0.86
chr13-8	chr13	34617078	34617176	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	10.23	3.61e-07	0.86
chr13-12	chr13	57074620	57074718	+	4.6	0.714	10.000000	7.5	1.0	7.48	8.32e-05	16.98	5.35e-09	0.86
chr13-24	chr13	63455942	63456040	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	11.39	1.50e-07	0.86
chr13-20	chr13	63619835	63619933	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	10.23	3.61e-07	0.86
chr13-22	chr13	65345247	65345345	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	12.00	9.77e-08	0.86
chr13-15	chr13	72650912	72651010	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	12.86	5.52e-08	0.86
chr13-28	chr13	78719847	78719945	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	10.47	3.00e-07	0.86
chr13-11	chr13	93784104	93784202	+	4.6	0.667	10.000000	7.5	1.0	7.48	8.32e-05	13.43	3.83e-08	0.86
chr13-17	chr13	98751955	98752053	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	9.68	5.65e-07	0.86
chr13-23	chr13	101474066	101474164	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	9.58	6.16e-07	0.86
chr13-29	chr13	103236206	103236304	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	12.00	9.77e-08	0.86
chr13-18	chr13	108302255	108302353	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	9.68	5.65e-07	0.86
chr13-13	chr13	111462947	111463045	+	4.6	0.786	10.000000	7.5	1.0	7.48	8.32e-05	6.82	1.03e-05	0.86
chr14-10	chr14	22229516	22229614	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	10.35	3.29e-07	0.86
chr14-8	chr14	23443330	23443428	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	9.28	7.94e-07	0.86
chr14-11	chr14	122563851	122563949	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	11.94	5.15e-07	0.85
chr15-152	chr15	3372752	3372850	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	7.32	5.90e-06	0.86
chr15-129	chr15	4024332	4024430	+	4.6	0.667	9.000000	7.5	0.5	14.96	9.40e-07	7.90	3.23e-06	0.86
chr15-134	chr15	7387496	7387594	+	4.6	0.765	9.000000	7.5	1.0	7.48	8.32e-05	7.14	7.14e-06	0.86
chr15-27	chr15	12294154	12294252	+	4.6	0.786	10.000000	7.5	1.0	7.48	8.32e-05	7.14	7.14e-06	0.86
chr15-93	chr15	14518666	14518764	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	9.58	6.16e-07	0.86
chr15-47	chr15	25527590	25527688	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	8.57	1.67e-06	0.86
chr15-151	chr15	29101630	29101728	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	14.52	2.01e-08	0.86
chr15-99	chr15	33441543	33441641	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.33	2.09e-06	0.86
chr15-64	chr15	36637207	36637305	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	8.26	2.25e-06	0.86
chr15-26	chr15	39274642	39274740	+	4.6	0.909	10.000000	7.5	0.5	14.96	9.40e-07	8.74	1.43e-06	0.86
chr15-112	chr15	39781888	39781986	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	9.78	5.18e-07	0.86
chr15-97	chr15	41735923	41736021	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	7.63	4.25e-06	0.86
chr15-68	chr15	45118422	45118520	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	5.52	5.22e-05	0.86
chr15-78	chr15	54647276	54647374	+	4.6	0.786	9.000000	7.5	0.5	14.96	9.40e-07	7.09	7.60e-06	0.86
chr15-66	chr15	55614176	55614274	+	4.6	0.625	9.000000	7.5	0.5	14.96	9.40e-07	7.76	3.71e-06	0.86
chr15-52	chr15	57520433	57520531	+	4.6	0.833	9.000000	7.5	0.5	14.96	9.40e-07	7.20	6.71e-06	0.86
chr15-155	chr15	60583937	60584035	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	6.62	1.30e-05	0.86
chr15-74	chr15	62183656	62183754	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	5.20	8.16e-05	0.86
chr15-86	chr15	66581612	66581710	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	7.56	4.54e-06	0.86
chr15-136	chr15	72230957	72231055	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	9.68	5.65e-07	0.86
chr15-132	chr15	74422524	74422622	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	8.11	2.61e-06	0.86
chr15-56	chr15	75217212	75217310	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	12.50	6.97e-08	0.86
chr15-54	chr15	75915315	75915413	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.38	7.30e-07	0.86
chr15-59	chr15	79651364	79651462	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	6.62	1.30e-05	0.86
chr15-45	chr15	80056766	80056864	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	9.28	7.94e-07	0.86
chr15-157	chr15	88692827	88692925	+	4.6	0.562	9.000000	7.5	0.5	14.96	9.40e-07	6.25	2.02e-05	0.86
chr15-107	chr15	88977708	88977806	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	7.14	7.14e-06	0.86
chr15-149	chr15	95624214	95624312	+	4.6	0.667	9.000000	7.5	0.5	14.96	9.40e-07	7.27	2.01e-05	0.85
chr15-88	chr15	99092800	99092898	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	7.09	7.60e-06	0.86
chr15-92	chr15	99336708	99336806	+	4.6	0.923	9.000000	7.5	1.0	7.48	8.32e-05	6.43	1.63e-05	0.86
chr15-76	chr15	102019026	102019124	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	7.03	8.08e-06	0.86
chr16-50	chr16	4930041	4930139	+	4.6	0.786	9.000000	7.5	0.5	14.96	9.40e-07	7.90	3.23e-06	0.86
chr16-58	chr16	11123284	11123382	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	8.74	1.43e-06	0.86
chr16-28	chr16	11455970	11456068	+	4.6	0.786	9.000000	7.5	0.5	14.96	9.40e-07	6.52	1.46e-05	0.86
chr16-46	chr16	11845796	11845894	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	9.09	9.35e-07	0.86
chr16-57	chr16	21224795	21224893	+	4.6	0.714	9.000000	7.5	1.0	7.48	8.32e-05	8.57	1.67e-06	0.86
chr16-43	chr16	22818348	22818446	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	7.97	3.01e-06	0.86
chr16-17	chr16	24845059	24845157	+	4.6	0.846	10.000000	8.3	0.5	16.63	5.88e-08	6.92	9.13e-06	0.86
chr16-33	chr16	29960976	29961074	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	7.26	6.29e-06	0.86
chr16-22	chr16	34365835	34365933	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.65	1.54e-06	0.86
chr16-38	chr16	35255915	35256013	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	13.24	4.34e-08	0.86
chr16-41	chr16	56280491	56280589	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	9.58	6.16e-07	0.86
chr16-32	chr16	66621601	66621699	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	8.91	1.22e-06	0.86
chr16-11	chr16	73402588	73402686	+	4.6	0.769	10.000000	7.5	1.0	7.48	8.32e-05	10.98	2.03e-07	0.86
chr16-47	chr16	77210019	77210117	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	10.72	2.48e-07	0.86
chr16-54	chr16	80850305	80850403	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	12.33	7.81e-08	0.86
chr16-23	chr16	85925061	85925159	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	6.72	3.49e-05	0.85
chr16-53	chr16	93956958	93957056	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	10.23	3.61e-07	0.86
chr16-27	chr16	96033045	96033143	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	7.20	6.71e-06	0.86
chr16-30	chr16	96812803	96812901	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	9.00	1.01e-06	0.86
chr17-42	chr17	30727402	30727500	+	4.6	0.625	9.000000	7.5	0.5	14.96	9.40e-07	6.17	2.25e-05	0.86
chr17-33	chr17	42854770	42854868	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	13.85	2.98e-08	0.86
chr17-25	chr17	56526501	56526599	+	4.6	0.818	10.000000	7.5	0.5	14.96	9.40e-07	12.00	9.77e-08	0.86
chr17-30	chr17	71224609	71224707	+	4.6	0.833	10.000000	7.5	0.5	14.96	9.40e-07	9.58	6.16e-07	0.86
chr17-26	chr17	85905897	85905995	+	4.6	0.769	10.000000	8.3	1.0	8.31	1.02e-05	8.49	1.80e-06	0.86
chr17-24	chr17	87066580	87066678	+	4.6	0.909	10.000000	7.5	0.5	14.96	9.40e-07	7.97	3.01e-06	0.86
chr18-19	chr18	36619939	36620037	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	13.43	3.83e-08	0.86
chr18-20	chr18	45498073	45498171	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	15.00	1.52e-08	0.86
chr19-137	chr19	4054721	4054819	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	6.77	1.09e-05	0.86
chr19-40	chr19	4242973	4243071	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	11.84	1.09e-07	0.86
chr19-20	chr19	11052457	11052555	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	8.33	2.09e-06	0.86
chr19-46	chr19	12661599	12661697	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	9.38	7.30e-07	0.86
chr19-22	chr19	19162304	19162402	+	4.6	0.786	10.000000	7.5	0.5	14.96	9.40e-07	9.00	1.01e-06	0.86
chr19-23	chr19	23957351	23957449	+	4.6	0.769	10.000000	8.3	0.5	16.63	5.88e-08	9.38	7.30e-07	0.86
chr19-164	chr19	33125978	33126076	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	8.41	1.94e-06	0.86
chr19-86	chr19	38298836	38298934	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	6.04	2.63e-05	0.86
chr19-27	chr19	43207586	43207684	+	4.6	0.833	10.000000	7.5	0.5	14.96	9.40e-07	8.11	2.61e-06	0.86
chr19-145	chr19	43524517	43524615	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	5.29	7.16e-05	0.86
chr19-138	chr19	43605348	43605446	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	7.03	8.08e-06	0.86
chr19-21	chr19	43781910	43782008	+	4.6	0.667	10.000000	7.5	1.0	7.48	8.32e-05	5.23	7.82e-05	0.86
chr19-104	chr19	44953942	44954040	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	5.39	6.27e-05	0.86
chr19-79	chr19	46878762	46878860	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	5.42	5.99e-05	0.86
chr19-49	chr19	47686624	47686722	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	5.23	7.82e-05	0.86
chr19-80	chr19	47790819	47790917	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	5.29	7.16e-05	0.86
chr19-90	chr19	47795204	47795302	+	4.6	0.706	9.000000	7.5	0.5	14.96	9.40e-07	5.39	6.27e-05	0.86
chr19-161	chr19	48022999	48023097	+	4.6	0.786	9.000000	7.5	0.5	14.96	9.40e-07	6.82	1.03e-05	0.86
chr19-154	chr19	48130955	48131053	+	4.6	0.667	9.000000	7.5	0.5	14.96	9.40e-07	6.17	2.25e-05	0.86
chr19-99	chr19	49636251	49636349	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	6.17	2.25e-05	0.86
chr19-70	chr19	50472987	50473085	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	8.33	2.09e-06	0.86
chr19-84	chr19	53117215	53117313	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	6.52	1.46e-05	0.86
chr19-102	chr19	53340604	53340702	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	5.29	7.16e-05	0.86
chr19-58	chr19	53588259	53588357	+	4.6	0.600	9.000000	7.5	1.0	7.48	8.32e-05	5.77	3.74e-05	0.86
chr19-25	chr19	53732788	53732886	+	4.6	0.769	10.000000	7.5	0.5	14.96	9.40e-07	6.17	2.25e-05	0.86
chr19-157	chr19	54438415	54438513	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	7.63	4.25e-06	0.97
chr19-97	chr19	54704295	54704393	+	4.6	0.846	9.000000	7.5	1.0	7.48	8.32e-05	6.00	2.77e-05	0.86
chr19-121	chr19	56451193	56451291	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	6.67	1.23e-05	0.86
chr19-83	chr19	56559079	56559177	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	6.25	2.02e-05	0.86
chr19-66	chr19	57034180	57034278	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	5.42	5.99e-05	0.86
chr19-147	chr19	57071479	57071577	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	5.36	6.55e-05	0.86
chr19-163	chr19	57121396	57121494	+	4.6	0.474	9.000000	7.5	0.5	14.96	9.40e-07	5.09	9.68e-05	0.86
chr19-148	chr19	57220052	57220150	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	6.21	2.14e-05	0.86
chr19-116	chr19	57470259	57470357	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	6.17	2.25e-05	0.86
chr19-130	chr19	57838581	57838679	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	5.63	4.53e-05	0.86
chr19-42	chr19	58293986	58294084	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	5.33	6.85e-05	0.86
chr19-37	chr19	58831189	58831287	+	4.6	0.769	10.000000	7.5	0.5	14.96	9.40e-07	6.72	1.16e-05	0.86
chr19-60	chr19	60209129	60209227	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	6.67	1.23e-05	0.86
chr19-56	chr19	60284762	60284860	+	4.6	0.625	9.000000	7.5	1.0	7.48	8.32e-05	5.63	4.53e-05	0.86
chr19-18	chr19	60820490	60820588	+	4.6	0.688	10.000000	7.5	0.5	14.96	9.40e-07	6.11	6.77e-05	0.85
chrX-91	chrX	6863209	6863307	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	7.83	3.46e-06	0.86
chrX-70	chrX	7163587	7163685	+	4.6	0.643	9.000000	7.5	1.0	7.48	8.32e-05	8.57	1.67e-06	0.86
chrX-47	chrX	32104840	32104938	+	4.6	0.909	10.000000	7.5	1.0	7.48	8.32e-05	11.11	1.84e-07	0.86
chrX-45	chrX	44715325	44715423	+	4.6	0.917	10.000000	7.5	1.0	7.48	8.32e-05	17.31	4.55e-09	0.86
chrX-110	chrX	70950667	70950765	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	7.97	3.01e-06	0.86
chrX-132	chrX	73636442	73636540	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	8.11	2.61e-06	0.86
chrX-119	chrX	74548321	74548419	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	7.76	3.71e-06	0.86
chrX-87	chrX	78968566	78968664	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	13.04	4.90e-08	0.86
