# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_control_chip/
#
# total peaks = 706
# peak size = 103
# peaks found using tags on both strands
# minimum distance between peaks = 206
# fragment length = 102
# genome size = 2000000000
# Total tags = 20325998.0
# Total tags in peaks = 6984.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.010141
# expected tags per peak = 1.044
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 1.602641e-06
# FDR tag threshold = 9.0
# number of putative peaks = 2049
#
# input tag directory = LXR_control_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1230
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 113
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_control_chip/ -center -i LXR_control_input/ -o LXR_control_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-76	chr1	195005099	195005201	+	4.4	0.714	10.000000	9.0	0.5	18.92	2.14e-09	9.61	5.99e-07	0.86
chr1-121	chr1	196486287	196486389	+	4.4	0.917	9.000000	9.0	0.5	18.92	2.14e-09	11.23	1.69e-07	0.86
chr2-32	chr2	19190345	19190447	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	13.95	2.80e-08	0.86
chr2-33	chr2	28878931	28879033	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	9.20	8.50e-07	0.86
chr2-54	chr2	32138476	32138578	+	4.4	0.714	9.000000	9.0	1.0	9.46	6.80e-07	8.01	2.88e-06	0.86
chr2-31	chr2	36647961	36648063	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	9.30	7.80e-07	0.86
chr2-47	chr2	44964991	44965093	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	9.61	5.99e-07	0.86
chr2-46	chr2	60096159	60096261	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	8.16	2.48e-06	0.86
chr2-37	chr2	104769941	104770043	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	11.85	1.09e-07	0.86
chr2-30	chr2	112226421	112226523	+	4.4	0.667	9.000000	9.0	1.0	9.46	6.80e-07	7.15	7.11e-06	0.86
chr2-27	chr2	114941676	114941778	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	11.53	1.36e-07	0.86
chr2-50	chr2	120791377	120791479	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	9.83	5.00e-07	0.86
chr2-56	chr2	132317400	132317502	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	10.30	3.43e-07	0.86
chr2-53	chr2	150149148	150149250	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	14.66	1.85e-08	0.86
chr2-39	chr2	179843976	179844078	+	4.4	0.643	9.000000	9.0	1.0	9.46	6.80e-07	7.84	1.18e-05	0.85
chr2-43	chr2	180417614	180417716	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	8.74	1.43e-06	0.86
chr3-14	chr3	19217999	19218101	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	7.86	3.34e-06	0.86
chr3-22	chr3	21365504	21365606	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	8.32	2.13e-06	0.86
chr3-36	chr3	26724525	26724627	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	9.61	2.49e-06	0.85
chr3-12	chr3	81081352	81081454	+	4.4	0.833	10.000000	10.0	0.5	21.02	1.02e-10	10.95	2.08e-07	0.86
chr3-10	chr3	88521212	88521314	+	4.4	0.833	10.000000	9.0	0.5	18.92	2.14e-09	9.83	5.00e-07	0.86
chr3-17	chr3	110906214	110906316	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	12.01	9.70e-08	0.86
chr3-33	chr3	131449980	131450082	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	9.01	1.01e-06	0.86
chr3-20	chr3	132979040	132979142	+	4.4	0.917	9.000000	9.0	0.5	18.92	2.14e-09	9.94	4.56e-07	0.86
chr4-63	chr4	6187350	6187452	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	9.26	3.24e-06	0.85
chr4-52	chr4	63337193	63337295	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	12.72	6.05e-08	0.86
chr4-62	chr4	77607370	77607472	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	15.17	1.39e-08	0.86
chr4-25	chr4	131826045	131826147	+	4.4	0.846	11.000000	9.0	1.0	9.46	6.80e-07	10.42	3.11e-07	0.86
chr4-57	chr4	146805970	146806072	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr5-137	chr5	4639547	4639649	+	4.4	0.846	9.000000	9.0	1.0	9.46	6.80e-07	6.74	3.42e-05	0.85
chr5-127	chr5	8214867	8214969	+	4.4	0.643	9.000000	9.0	1.0	9.46	6.80e-07	7.46	5.10e-06	0.86
chr5-46	chr5	9993333	9993435	+	4.4	0.833	10.000000	9.0	0.5	18.92	2.14e-09	7.59	4.44e-06	0.86
chr5-175	chr5	12420383	12420485	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	5.21	8.09e-05	0.86
chr5-187	chr5	12555346	12555448	+	4.4	0.786	9.000000	9.0	1.0	9.46	6.80e-07	5.62	4.60e-05	0.86
chr5-87	chr5	13068554	13068656	+	4.4	0.714	9.000000	9.0	1.0	9.46	6.80e-07	5.47	5.58e-05	0.86
chr5-208	chr5	13254210	13254312	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	5.18	8.46e-05	0.86
chr5-36	chr5	14370144	14370246	+	4.4	0.833	10.000000	9.0	1.0	9.46	6.80e-07	5.65	4.37e-05	0.86
chr5-74	chr5	17605740	17605842	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	7.93	3.11e-06	0.86
chr5-130	chr5	18397371	18397473	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	12.18	8.64e-08	0.86
chr5-53	chr5	19507169	19507271	+	4.4	0.909	10.000000	9.0	1.0	9.46	6.80e-07	10.17	3.77e-07	0.86
chr5-34	chr5	22247160	22247262	+	4.4	0.688	10.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr5-82	chr5	23290390	23290492	+	4.4	0.923	9.000000	9.0	0.5	18.92	2.14e-09	6.76	1.11e-05	0.86
chr5-93	chr5	24609232	24609334	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	7.52	4.76e-06	0.86
chr5-110	chr5	27803160	27803262	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	8.56	1.68e-06	0.86
chr5-54	chr5	31789811	31789913	+	4.4	0.769	10.000000	9.0	1.0	9.46	6.80e-07	6.60	1.33e-05	0.86
chr5-194	chr5	32956890	32956992	+	4.4	0.833	9.000000	9.0	0.5	18.92	2.14e-09	6.81	1.04e-05	0.86
chr5-88	chr5	35849634	35849736	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.15	7.11e-06	0.86
chr5-197	chr5	36059638	36059740	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	6.50	1.49e-05	0.86
chr5-206	chr5	37131467	37131569	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	7.65	4.14e-06	0.86
chr5-218	chr5	39808970	39809072	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	7.52	4.76e-06	0.86
chr5-56	chr5	45853178	45853280	+	4.4	0.733	10.000000	9.0	0.5	18.92	2.14e-09	9.01	1.01e-06	0.97
chr5-147	chr5	48684095	48684197	+	4.4	0.667	9.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr5-45	chr5	53168816	53168918	+	4.4	0.769	10.000000	9.0	0.5	18.92	2.14e-09	7.86	3.34e-06	0.86
chr5-160	chr5	61150256	61150358	+	4.4	0.786	9.000000	9.0	0.5	18.92	2.14e-09	16.32	7.50e-09	0.86
chr5-94	chr5	65429924	65430026	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	8.01	2.88e-06	0.86
chr5-33	chr5	65543677	65543779	+	4.4	0.833	10.000000	9.0	1.0	9.46	6.80e-07	6.65	1.25e-05	0.86
chr5-162	chr5	65968719	65968821	+	4.4	0.600	9.000000	9.0	0.5	18.92	2.14e-09	6.60	1.33e-05	0.86
chr5-79	chr5	67554867	67554969	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	6.97	8.63e-06	0.86
chr5-117	chr5	67840877	67840979	+	4.4	0.917	9.000000	9.0	1.0	9.46	6.80e-07	10.06	4.15e-07	0.86
chr5-156	chr5	68025856	68025958	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr5-136	chr5	70561020	70561122	+	4.4	0.727	9.000000	9.0	0.5	18.92	2.14e-09	8.84	4.53e-06	0.85
chr5-80	chr5	70988542	70988644	+	4.4	0.714	9.000000	9.0	1.0	9.46	6.80e-07	8.92	1.21e-06	0.86
chr5-186	chr5	73602278	73602380	+	4.4	0.769	9.000000	10.0	1.9	5.25	3.08e-05	6.20	6.11e-05	0.85
chr5-72	chr5	73711777	73711879	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	6.27	1.98e-05	0.86
chr5-133	chr5	76877839	76877941	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	8.16	2.48e-06	0.86
chr5-18	chr5	77730474	77730576	+	4.4	0.733	11.000000	10.0	0.5	21.02	1.02e-10	7.27	6.24e-06	0.86
chr5-103	chr5	89608393	89608495	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.05	2.50e-05	0.85
chr5-31	chr5	99162181	99162283	+	4.4	0.846	10.000000	10.0	1.0	10.51	6.47e-08	7.93	3.11e-06	0.86
chr5-213	chr5	103879827	103879929	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	6.92	9.19e-06	0.86
chr5-68	chr5	107281533	107281635	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.39	5.45e-06	0.86
chr5-205	chr5	114169892	114169994	+	4.4	0.812	9.000000	9.0	0.5	18.92	2.14e-09	6.86	9.78e-06	0.86
chr5-135	chr5	115434726	115434828	+	4.4	0.600	9.000000	9.0	1.0	9.46	6.80e-07	6.31	1.88e-05	0.86
chr5-151	chr5	122196160	122196262	+	4.4	0.733	9.000000	9.0	1.0	9.46	6.80e-07	7.15	7.11e-06	0.86
chr5-172	chr5	124025831	124025933	+	4.4	0.643	9.000000	9.0	1.0	9.46	6.80e-07	6.27	1.98e-05	0.86
chr5-118	chr5	124678004	124678106	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	6.36	1.77e-05	0.86
chr5-63	chr5	125364291	125364393	+	4.4	0.667	10.000000	9.0	0.5	18.92	2.14e-09	5.40	6.13e-05	0.86
chr5-177	chr5	126739630	126739732	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	9.20	8.50e-07	0.86
chr5-161	chr5	134779563	134779665	+	4.4	0.786	9.000000	9.0	1.0	9.46	6.80e-07	7.39	5.45e-06	0.86
chr5-124	chr5	135489092	135489194	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	8.08	2.68e-06	0.86
chr5-121	chr5	136153169	136153271	+	4.4	0.600	9.000000	9.0	1.0	9.46	6.80e-07	6.31	1.88e-05	0.86
chr5-109	chr5	139177215	139177317	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	7.59	4.44e-06	0.86
chr5-144	chr5	139374121	139374223	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.39	5.45e-06	0.86
chr5-77	chr5	143676111	143676213	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	5.77	3.76e-05	0.86
chr5-152	chr5	143694395	143694497	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	7.39	5.45e-06	0.86
chr6-22	chr6	74662667	74662769	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	18.40	2.71e-09	0.86
chr6-7	chr6	91384839	91384941	+	4.4	0.846	10.000000	9.0	0.5	18.92	2.14e-09	11.23	1.69e-07	0.86
chr6-18	chr6	141379457	141379559	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	11.85	1.09e-07	0.86
chr8-81	chr8	3954128	3954230	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	16.96	5.42e-09	0.86
chr8-58	chr8	27155935	27156037	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	9.01	1.01e-06	0.86
chr8-61	chr8	34586598	34586700	+	4.4	0.909	9.000000	9.0	0.5	18.92	2.14e-09	9.10	9.25e-07	0.86
chr8-38	chr8	37340253	37340355	+	4.4	0.833	10.000000	9.0	1.0	9.46	6.80e-07	9.94	4.56e-07	0.86
chr8-111	chr8	46550262	46550364	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	9.83	5.00e-07	0.86
chr8-48	chr8	46934749	46934851	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	8.32	2.13e-06	0.86
chr8-74	chr8	47890639	47890741	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.93	3.11e-06	0.86
chr8-42	chr8	55262914	55263016	+	4.4	0.769	10.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr8-55	chr8	67087829	67087931	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.84	1.18e-05	0.85
chr8-120	chr8	71478126	71478228	+	4.4	0.714	9.000000	9.0	1.0	9.46	6.80e-07	6.18	2.22e-05	0.86
chr8-39	chr8	76192545	76192647	+	4.4	0.909	10.000000	9.0	1.0	9.46	6.80e-07	18.40	2.71e-09	0.86
chr8-115	chr8	86174593	86174695	+	4.4	0.714	9.000000	9.0	1.0	9.46	6.80e-07	7.39	5.45e-06	0.86
chr8-41	chr8	87166853	87166955	+	4.4	0.846	10.000000	9.0	1.0	9.46	6.80e-07	7.72	3.86e-06	0.86
chr8-51	chr8	87452535	87452637	+	4.4	0.909	9.000000	9.0	0.5	18.92	2.14e-09	9.50	6.55e-07	0.86
chr8-107	chr8	87753975	87754077	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	8.32	2.13e-06	0.86
chr8-71	chr8	88368376	88368478	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	6.55	1.41e-05	0.86
chr8-101	chr8	89822032	89822134	+	4.4	0.600	9.000000	9.0	1.0	9.46	6.80e-07	8.08	2.68e-06	0.86
chr8-87	chr8	96492765	96492867	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	7.72	3.86e-06	0.86
chr8-50	chr8	99401031	99401133	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	7.52	4.76e-06	0.86
chr8-108	chr8	124432019	124432121	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	7.03	8.09e-06	0.86
chr8-113	chr8	126627168	126627270	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	9.30	7.80e-07	0.86
chr8-57	chr8	128300881	128300983	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.84	1.18e-05	0.85
chr9-73	chr9	11827799	11827901	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	32.03	2.93e-10	0.85
chr9-66	chr9	70408932	70409034	+	4.4	0.786	9.000000	9.0	0.5	18.92	2.14e-09	8.92	1.21e-06	0.86
chr9-63	chr9	72481703	72481805	+	4.4	0.769	10.000000	9.0	0.5	18.92	2.14e-09	9.40	7.15e-07	0.86
chr9-67	chr9	97657830	97657932	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	10.06	4.15e-07	0.86
chr9-71	chr9	123717765	123717867	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	8.18	7.82e-06	0.85
chr10-45	chr10	14470840	14470942	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	11.23	1.69e-07	0.86
chr10-47	chr10	25359161	25359263	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	9.01	1.01e-06	0.86
chr10-51	chr10	56549238	56549340	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	9.94	4.56e-07	0.86
chr10-42	chr10	60581419	60581521	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	8.01	2.88e-06	0.86
chr10-23	chr10	65807345	65807447	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	9.01	1.01e-06	0.86
chr10-35	chr10	77819409	77819511	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	8.92	1.21e-06	0.86
chr10-43	chr10	89537345	89537447	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	9.49	2.72e-06	0.85
chr10-33	chr10	122495107	122495209	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.61	1.46e-05	0.85
chr11-266	chr11	4390877	4390979	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	6.05	2.61e-05	0.86
chr11-191	chr11	4455975	4456077	+	4.4	0.733	10.000000	9.0	1.0	9.46	6.80e-07	5.88	3.23e-05	0.86
chr11-232	chr11	5343788	5343890	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	7.86	3.34e-06	0.86
chr11-254	chr11	5374724	5374826	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	10.06	4.15e-07	0.86
chr11-228	chr11	8506742	8506844	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	7.86	3.34e-06	0.86
chr11-205	chr11	22338856	22338958	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	9.10	9.25e-07	0.86
chr11-267	chr11	22387083	22387185	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	10.83	1.05e-06	0.85
chr11-236	chr11	29611377	29611479	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	5.84	3.40e-05	0.86
chr11-264	chr11	39697908	39698010	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	9.10	9.25e-07	0.86
chr11-275	chr11	41057218	41057320	+	4.4	0.714	9.000000	9.0	0.5	18.92	2.14e-09	8.32	2.13e-06	0.86
chr11-259	chr11	41429010	41429112	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	9.83	5.00e-07	0.86
chr11-285	chr11	43702319	43702421	+	4.4	0.667	9.000000	9.0	1.0	9.46	6.80e-07	5.40	6.13e-05	0.86
chr11-244	chr11	43867221	43867323	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	6.01	2.75e-05	0.86
chr11-237	chr11	45683514	45683616	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	7.72	3.86e-06	0.86
chr11-289	chr11	50191161	50191263	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	6.25	5.78e-05	0.85
chr11-241	chr11	50240487	50240589	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	6.70	1.18e-05	0.86
chr11-256	chr11	50252447	50252549	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	6.97	8.63e-06	0.86
chr11-185	chr11	54291735	54291837	+	4.4	0.769	10.000000	9.0	1.0	9.46	6.80e-07	6.86	9.78e-06	0.86
chr11-209	chr11	56356773	56356875	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	6.76	1.11e-05	0.86
chr11-273	chr11	58057507	58057609	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	9.01	1.01e-06	0.86
chr11-189	chr11	59031229	59031331	+	4.4	0.846	10.000000	9.0	1.0	9.46	6.80e-07	5.15	8.84e-05	0.86
chr11-265	chr11	59631995	59632097	+	4.4	0.692	9.000000	9.0	0.5	18.92	2.14e-09	5.92	3.06e-05	0.86
chr11-245	chr11	68854695	68854797	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	7.59	4.44e-06	0.86
chr11-290	chr11	76409899	76410001	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	6.13	2.34e-05	0.86
chr11-286	chr11	78344955	78345057	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	7.39	5.45e-06	0.86
chr11-219	chr11	85431482	85431584	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	9.83	5.00e-07	0.86
chr11-227	chr11	87256903	87257005	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	10.30	3.43e-07	0.86
chr11-195	chr11	94189619	94189721	+	4.4	0.769	10.000000	9.0	0.5	18.92	2.14e-09	7.93	3.11e-06	0.86
chr11-240	chr11	96664945	96665047	+	4.4	0.667	9.000000	9.0	1.0	9.46	6.80e-07	8.65	1.55e-06	0.86
chr11-282	chr11	98573114	98573216	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	7.72	3.86e-06	0.86
chr11-262	chr11	98678460	98678562	+	4.4	0.600	9.000000	9.0	1.0	9.46	6.80e-07	8.16	2.48e-06	0.86
chr11-225	chr11	106949400	106949502	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	8.08	2.68e-06	0.86
chr11-196	chr11	108069393	108069495	+	4.4	0.909	10.000000	9.0	1.0	9.46	6.80e-07	10.81	2.30e-07	0.86
chr12-18	chr12	3977979	3978081	+	4.4	0.833	9.000000	9.0	0.5	18.92	2.14e-09	9.10	9.25e-07	0.86
chr12-9	chr12	13014511	13014613	+	4.4	0.833	10.000000	9.0	0.5	18.92	2.14e-09	11.09	1.87e-07	0.86
chr12-10	chr12	53892512	53892614	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	7.39	1.80e-05	0.85
chr12-14	chr12	54517702	54517804	+	4.4	0.833	9.000000	9.0	0.5	18.92	2.14e-09	9.10	9.25e-07	0.86
chr12-8	chr12	70990356	70990458	+	4.4	0.786	10.000000	9.0	1.0	9.46	6.80e-07	8.82	1.32e-06	0.86
chr12-6	chr12	97777500	97777602	+	4.4	0.786	11.000000	9.0	0.5	18.92	2.14e-09	9.83	5.00e-07	0.86
chr12-12	chr12	112407874	112407976	+	4.4	0.643	9.000000	9.0	0.5	18.92	2.14e-09	7.93	3.11e-06	0.86
chr13-26	chr13	4366537	4366639	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	12.53	6.82e-08	0.86
chr13-17	chr13	34902967	34903069	+	4.4	0.857	9.000000	9.0	1.0	9.46	6.80e-07	9.72	5.48e-07	0.86
chr13-33	chr13	52815899	52816001	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	11.69	1.22e-07	0.86
chr13-25	chr13	57834318	57834420	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	13.73	3.20e-08	0.86
chr13-36	chr13	63206561	63206663	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	7.93	3.11e-06	0.86
chr13-13	chr13	71126863	71126965	+	4.4	0.769	10.000000	9.0	1.0	9.46	6.80e-07	11.09	1.87e-07	0.86
chr13-27	chr13	93560795	93560897	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	13.30	4.16e-08	0.86
chr13-12	chr13	107827417	107827519	+	4.4	0.833	10.000000	9.0	1.0	9.46	6.80e-07	8.48	1.82e-06	0.86
chr14-19	chr14	10032968	10033070	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	9.72	5.48e-07	0.86
chr14-10	chr14	21331126	21331228	+	4.4	0.917	9.000000	9.0	1.0	9.46	6.80e-07	7.03	8.09e-06	0.97
chr14-12	chr14	24858577	24858679	+	4.4	0.909	9.000000	9.0	0.5	18.92	2.14e-09	9.50	6.55e-07	0.86
chr14-9	chr14	48013000	48013102	+	4.4	0.909	9.000000	9.0	0.5	18.92	2.14e-09	12.18	8.64e-08	0.86
chr14-18	chr14	73411095	73411197	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	10.39	1.42e-06	0.85
chr15-177	chr15	5216117	5216219	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	10.95	2.08e-07	0.86
chr15-81	chr15	6302880	6302982	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	7.21	6.66e-06	0.86
chr15-190	chr15	15224459	15224561	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.79	3.59e-06	0.86
chr15-153	chr15	25633829	25633931	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	8.48	1.82e-06	0.86
chr15-134	chr15	27226286	27226388	+	4.4	0.846	9.000000	9.0	0.5	18.92	2.14e-09	8.48	1.82e-06	0.97
chr15-231	chr15	33612991	33613093	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	7.21	6.66e-06	0.86
chr15-239	chr15	34445488	34445590	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	7.39	5.45e-06	0.86
chr15-47	chr15	39003514	39003616	+	4.4	0.733	10.000000	10.0	0.5	21.02	1.02e-10	11.85	1.09e-07	0.86
chr15-224	chr15	40822856	40822958	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	7.21	6.66e-06	0.86
chr15-17	chr15	41594587	41594689	+	4.4	0.833	10.000000	9.0	0.5	18.92	2.14e-09	6.13	2.34e-05	0.86
chr15-85	chr15	48330776	48330878	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	10.68	2.55e-07	0.86
chr15-86	chr15	53500847	53500949	+	4.4	0.857	9.000000	9.0	1.0	9.46	6.80e-07	7.52	4.76e-06	0.97
chr15-127	chr15	56001618	56001720	+	4.4	0.643	9.000000	9.0	0.5	18.92	2.14e-09	8.48	1.82e-06	0.86
chr15-105	chr15	59840692	59840794	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	6.55	1.41e-05	0.86
chr15-49	chr15	62579876	62579978	+	4.4	0.909	10.000000	9.0	0.5	18.92	2.14e-09	7.03	8.09e-06	0.86
chr15-162	chr15	76428608	76428710	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	7.93	3.11e-06	0.86
chr15-196	chr15	78764139	78764241	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	6.27	1.98e-05	0.86
chr15-29	chr15	78938876	78938978	+	4.4	0.714	10.000000	9.0	1.0	9.46	6.80e-07	7.09	7.59e-06	0.86
chr15-161	chr15	88000124	88000226	+	4.4	0.909	9.000000	9.0	1.0	9.46	6.80e-07	6.55	1.41e-05	0.86
chr15-167	chr15	89548525	89548627	+	4.4	0.769	9.000000	9.0	1.0	9.46	6.80e-07	7.92	1.10e-05	0.85
chr15-238	chr15	89963223	89963325	+	4.4	0.769	9.000000	9.0	0.5	18.92	2.14e-09	7.33	5.83e-06	0.86
chr15-22	chr15	90296500	90296602	+	4.4	0.733	10.000000	9.0	0.5	18.92	2.14e-09	7.65	4.14e-06	0.86
chr15-60	chr15	91755571	91755673	+	4.4	0.833	9.000000	9.0	1.0	9.46	6.80e-07	7.65	4.14e-06	0.86
chr15-41	chr15	92905619	92905721	+	4.4	0.714	10.000000	10.0	0.5	21.02	1.02e-10	6.81	1.04e-05	0.86
